gtdb_accession	temp
RS_GCF_000746255.1	49.9854261155
RS_GCF_000747665.1	68.0
RS_GCF_000754095.2	25.1161149093
RS_GCF_000755505.1	17.5
RS_GCF_000760695.4	8.0
RS_GCF_000763575.1	54.0918841007
RS_GCF_000764025.1	14.9589322382
RS_GCF_000764185.1	1.95829708847
RS_GCF_000816145.1	56.4755513978
RS_GCF_000827935.1	12.5
RS_GCF_000828655.1	54.75690632
RS_GCF_000828675.1	50.0869265858
RS_GCF_000829035.1	5.88103001098688
RS_GCF_000832125.1	2.90908923151
RS_GCF_000832985.1	20.723293807431
RS_GCF_000968135.1	25.0
RS_GCF_000968375.1	27.5
RS_GCF_001027025.1	70.0
RS_GCF_001050195.2	50.0
RS_GCF_001050235.1	37.0
RS_GCF_001050275.1	37.0
RS_GCF_001077535.1	37.0
RS_GCF_001190785.1	36.0
RS_GCF_001263355.1	1.05282526967
RS_GCF_001267405.1	58.0
RS_GCF_001277805.1	47.488516671957996
RS_GCF_001280255.1	45.4567174786706
RS_GCF_001306035.1	38.5
RS_GCF_001306055.1	55.0
RS_GCF_001310895.1	10.9420289855
RS_GCF_001375595.1	29.0
RS_GCF_001435775.1	19.6182357302
RS_GCF_001457615.1	8.0
RS_GCF_001457635.1	37.0
RS_GCF_001457695.1	33.0448891293
RS_GCF_001514535.1	60.0
RS_GCF_001544255.1	25.0
RS_GCF_001547735.1	54.9114986233
RS_GCF_001553625.1	37.0
RS_GCF_001562415.1	50.0
RS_GCF_001591585.1	0.262162843459
RS_GCF_001598695.1	5.39999999999998
RS_GCF_001623875.1	31.0
RS_GCF_001636545.1	50.1385560314
RS_GCF_001643305.1	13.2819785940848
RS_GCF_001652585.1	49.9481865285
RS_GCF_001662305.1	35.0
RS_GCF_001721685.1	4.75991649269
RS_GCF_001730685.1	60.0
RS_GCF_001746755.1	27.0
RS_GCF_001855385.1	37.0
RS_GCF_001866005.1	32.5
RS_GCF_001877035.1	3.09432513999997
RS_GCF_001880325.1	50.2542514636
RS_GCF_001938565.1	0.0
RS_GCF_001990485.1	70.0
RS_GCF_002050515.1	55.0
RS_GCF_002097535.1	34.0
RS_GCF_002155695.1	30.1167175435
RS_GCF_002216005.1	52.0
RS_GCF_002217655.1	62.5
RS_GCF_002257705.1	30.0
RS_GCF_002285495.1	30.0622010763
RS_GCF_002441695.1	0.0
RS_GCF_002706795.1	6.23361482228
RS_GCF_002732165.1	19.6
RS_GCF_002752655.1	15.0121654501
RS_GCF_002754935.1	53.9663670200036
RS_GCF_002895525.1	45.1111064961
RS_GCF_002895605.1	35.0286713628
RS_GCF_002896855.1	42.8733636121
RS_GCF_002995745.1	2.09020026141
RS_GCF_002995755.1	65.0
RS_GCF_002995805.1	65.0
RS_GCF_003003275.1	29.0
RS_GCF_003025615.1	5.87565674256
RS_GCF_003051085.1	5.08527477312
RS_GCF_003113265.1	15.0121654501
RS_GCF_003148585.1	4.0
RS_GCF_003351105.1	49.9892750745
RS_GCF_003609645.1	45.2101268064
RS_GCF_003634755.1	4.89106539358
RS_GCF_003664005.1	54.9329807274
RS_GCF_003688495.1	5.34497677704
RS_GCF_003688615.2	68.0
RS_GCF_003697165.2	14.411664484
RS_GCF_003865095.1	3.91992213211
RS_GCF_003932505.1	30.0
RS_GCF_003966655.1	19.7197012785
RS_GCF_003994475.1	32.5
RS_GCF_004216575.1	14.9764133095
RS_GCF_004319545.1	30.5
